user_id,fund_category,fund_name,investment_amount,risk_profile,investment_date,fund_performance,user_age,fund_risk_level,investment_duration_years
66,Fixed Income,Fidelity 500 Index Fund,568110.46,Aggressive,3/6/2019,48.88,38,High,16
67,Fixed Income,BlackRock Global Allocation Fund,154367.85,Conservative,4/20/2020,32.05,62,Low,18
68,Balanced,Fidelity 500 Index Fund,669964.93,Conservative,12/16/2013,-22.75,61,High,19
69,Balanced,BlackRock Global Allocation Fund,667682.0,Conservative,4/16/2019,37.67,18,Medium,30
70,Balanced,Vanguard Total Stock Market Index Fund,870591.21,Conservative,4/5/2010,46.34,63,High,16
71,Equity,BlackRock Global Allocation Fund,544580.34,Aggressive,5/26/2010,47.84,83,Low,22
72,Fixed Income,BlackRock Global Allocation Fund,420602.15,Aggressive,7/15/2015,-36.56,21,High,24
73,Equity,BlackRock Global Allocation Fund,201243.54,Aggressive,4/16/2019,-8.75,48,Low,10
74,Fixed Income,Fidelity 500 Index Fund,175508.3,Aggressive,11/7/2015,-16.91,54,Medium,7
75,Equity,BlackRock Global Allocation Fund,316818.55,Aggressive,11/6/2011,-4.3,80,Low,21
76,Equity,Fidelity 500 Index Fund,891426.86,Moderate,12/27/2010,20.25,48,High,27
77,Fixed Income,Fidelity 500 Index Fund,75012.67,Conservative,9/25/2017,11.27,79,High,4
78,Fixed Income,Fidelity 500 Index Fund,38297.68,Conservative,9/5/2014,35.59,26,High,4
79,Balanced,Fidelity 500 Index Fund,493500.71,Conservative,12/18/2020,-28.55,81,Medium,1
80,Fixed Income,BlackRock Global Allocation Fund,258082.04,Conservative,4/19/2017,-27.44,56,Medium,27
81,Fixed Income,Vanguard Total Stock Market Index Fund,737643.46,Aggressive,10/26/2016,6.55,54,Medium,16
82,Balanced,BlackRock Global Allocation Fund,77123.45,Conservative,7/3/2015,-14.35,33,Low,26
83,Fixed Income,Vanguard Total Stock Market Index Fund,758452.77,Conservative,10/10/2020,-11.49,41,High,1
84,Equity,BlackRock Global Allocation Fund,568444.03,Moderate,12/9/2010,12.04,80,High,7
85,Fixed Income,BlackRock Global Allocation Fund,650534.38,Aggressive,4/17/2013,-47.27,32,High,7
86,Equity,BlackRock Global Allocation Fund,541816.7,Conservative,10/18/2015,47.46,55,Low,23
87,Balanced,Fidelity 500 Index Fund,903731.41,Conservative,3/2/2011,-17.4,42,Medium,21
88,Equity,Fidelity 500 Index Fund,286866.6,Aggressive,4/5/2017,2.47,29,Medium,2
89,Fixed Income,Vanguard Total Stock Market Index Fund,234922.81,Aggressive,3/12/2013,11.42,56,Medium,2
90,Balanced,Vanguard Total Stock Market Index Fund,680652.78,Conservative,8/22/2015,-10.45,18,High,21
91,Equity,Vanguard Total Stock Market Index Fund,405801.89,Moderate,10/8/2013,-0.61,67,Medium,12
92,Fixed Income,Fidelity 500 Index Fund,613800.32,Aggressive,9/26/2014,36.09,75,Medium,5
93,Equity,Fidelity 500 Index Fund,783255.25,Moderate,4/16/2012,28.06,39,Low,24
94,Balanced,BlackRock Global Allocation Fund,17983.96,Moderate,5/13/2014,43.83,59,High,5
95,Equity,BlackRock Global Allocation Fund,316035.48,Moderate,6/16/2020,26.77,52,Medium,7
96,Equity,BlackRock Global Allocation Fund,451513.42,Moderate,11/20/2012,-26.39,41,Low,16
97,Equity,BlackRock Global Allocation Fund,923045.08,Moderate,3/16/2015,-21.55,75,Medium,8
98,Balanced,Vanguard Total Stock Market Index Fund,900598.76,Conservative,3/10/2013,-16.16,46,High,13
99,Balanced,Vanguard Total Stock Market Index Fund,135754.91,Conservative,9/20/2014,-17.39,63,High,13
100,Fixed Income,BlackRock Global Allocation Fund,467599.3,Moderate,1/30/2012,20.85,51,Low,10
101,Balanced,Vanguard Total Stock Market Index Fund,793785.18,Conservative,3/28/2019,-33.96,68,High,26
102,Fixed Income,Vanguard Total Stock Market Index Fund,97070.43,Moderate,4/13/2021,-34.07,74,High,17
103,Fixed Income,BlackRock Global Allocation Fund,359237.15,Aggressive,2/24/2011,-7.19,77,Medium,1
104,Fixed Income,BlackRock Global Allocation Fund,366979.19,Conservative,10/26/2020,-11.38,33,Low,21
105,Equity,BlackRock Global Allocation Fund,820935.1,Moderate,10/26/2020,-27.55,26,Low,16
106,Balanced,Vanguard Total Stock Market Index Fund,379185.32,Moderate,3/16/2019,-15.05,18,Low,23
107,Fixed Income,Fidelity 500 Index Fund,513157.01,Moderate,5/19/2014,11.65,36,High,9
108,Equity,Fidelity 500 Index Fund,845617.51,Conservative,2/9/2016,32.29,67,Medium,9
109,Fixed Income,Fidelity 500 Index Fund,10580.12,Aggressive,7/16/2017,30.0,39,Low,18
110,Balanced,BlackRock Global Allocation Fund,887157.67,Moderate,1/24/2012,26.76,37,Low,4
111,Balanced,Fidelity 500 Index Fund,752888.5,Aggressive,3/17/2017,7.67,51,High,28
112,Fixed Income,Fidelity 500 Index Fund,619851.35,Conservative,2/26/2021,39.63,33,High,6
113,Fixed Income,BlackRock Global Allocation Fund,382536.82,Moderate,12/23/2015,11.36,46,Low,6
114,Equity,BlackRock Global Allocation Fund,118125.18,Conservative,4/2/2021,32.07,83,Medium,13
115,Fixed Income,BlackRock Global Allocation Fund,509929.19,Aggressive,9/3/2021,-22.36,39,Medium,6
116,Equity,Fidelity 500 Index Fund,764669.49,Conservative,9/26/2015,-32.96,22,Low,30
117,Equity,Fidelity 500 Index Fund,713050.55,Conservative,5/4/2015,-6.31,48,High,18
118,Balanced,BlackRock Global Allocation Fund,293074.75,Aggressive,8/26/2012,1.08,22,Low,13
119,Fixed Income,Fidelity 500 Index Fund,567582.08,Aggressive,8/7/2016,-40.34,23,Low,16
120,Balanced,Vanguard Total Stock Market Index Fund,160163.53,Conservative,3/6/2016,-10.78,32,Medium,12
121,Equity,Vanguard Total Stock Market Index Fund,21417.38,Conservative,1/6/2020,-44.09,72,Medium,2
122,Balanced,BlackRock Global Allocation Fund,198502.86,Moderate,4/3/2017,-31.11,75,Low,8
123,Fixed Income,Fidelity 500 Index Fund,218541.67,Conservative,5/29/2020,34.36,70,Low,4
124,Balanced,Vanguard Total Stock Market Index Fund,961577.89,Aggressive,11/23/2021,-20.45,72,Medium,15
125,Fixed Income,Vanguard Total Stock Market Index Fund,446096.54,Moderate,9/2/2011,-23.49,62,Medium,27
126,Fixed Income,BlackRock Global Allocation Fund,50534.36,Aggressive,4/15/2013,-0.29,74,Low,25
127,Fixed Income,BlackRock Global Allocation Fund,253487.08,Aggressive,10/6/2017,-23.39,55,High,7
128,Balanced,BlackRock Global Allocation Fund,49804.46,Conservative,9/10/2011,2.13,56,High,22
129,Fixed Income,BlackRock Global Allocation Fund,75856.67,Aggressive,8/21/2020,30.25,19,Medium,1
130,Equity,BlackRock Global Allocation Fund,418042.3,Aggressive,9/11/2014,-47.67,56,Low,27
131,Balanced,Fidelity 500 Index Fund,16142.57,Moderate,9/9/2017,-25.12,41,Medium,5
132,Fixed Income,BlackRock Global Allocation Fund,208091.81,Aggressive,5/14/2019,8.63,35,Medium,17
133,Balanced,BlackRock Global Allocation Fund,5618.34,Aggressive,7/19/2017,48.7,32,Medium,6
134,Equity,Fidelity 500 Index Fund,515279.14,Conservative,10/17/2020,38.36,63,Low,15
135,Fixed Income,Vanguard Total Stock Market Index Fund,810501.24,Aggressive,11/6/2019,-13.58,46,Medium,8
136,Equity,BlackRock Global Allocation Fund,607232.18,Aggressive,4/27/2016,21.06,76,Medium,20
137,Balanced,Vanguard Total Stock Market Index Fund,235472.04,Moderate,7/22/2011,16.52,60,Low,4
138,Equity,Fidelity 500 Index Fund,313101.39,Conservative,9/12/2016,-0.73,43,Low,20
139,Equity,Fidelity 500 Index Fund,983059.5,Aggressive,5/8/2021,-8.28,43,Medium,18
140,Fixed Income,Fidelity 500 Index Fund,217271.56,Aggressive,4/5/2018,28.75,44,Low,20
141,Equity,BlackRock Global Allocation Fund,947652.05,Moderate,12/1/2013,-26.83,25,High,25
142,Balanced,Fidelity 500 Index Fund,84145.85,Conservative,12/13/2010,-45.0,29,Low,5
143,Equity,Fidelity 500 Index Fund,804985.59,Moderate,1/24/2019,-45.55,58,Medium,2
144,Balanced,Vanguard Total Stock Market Index Fund,756331.39,Moderate,2/4/2021,36.41,71,Low,21
145,Equity,Vanguard Total Stock Market Index Fund,420757.62,Conservative,4/24/2017,-30.2,22,Medium,21
146,Balanced,Vanguard Total Stock Market Index Fund,371811.93,Moderate,12/8/2019,36.98,29,High,28
147,Balanced,Vanguard Total Stock Market Index Fund,216860.82,Moderate,7/8/2019,-22.6,43,High,10
148,Equity,BlackRock Global Allocation Fund,613885.48,Aggressive,7/18/2016,-6.17,69,Medium,21
149,Equity,Fidelity 500 Index Fund,70821.2,Moderate,5/2/2016,-15.27,53,High,19
150,Equity,Vanguard Total Stock Market Index Fund,228979.49,Moderate,4/16/2012,37.43,77,Low,30
151,Equity,BlackRock Global Allocation Fund,962780.55,Moderate,4/17/2016,23.87,30,Medium,30
152,Fixed Income,Fidelity 500 Index Fund,607163.09,Moderate,6/19/2012,-39.38,62,Medium,22
153,Fixed Income,BlackRock Global Allocation Fund,813011.49,Aggressive,8/31/2014,-46.32,70,Low,17
154,Fixed Income,Fidelity 500 Index Fund,916132.94,Moderate,1/22/2010,-13.72,34,High,14
155,Balanced,BlackRock Global Allocation Fund,926658.77,Aggressive,3/9/2011,43.2,32,Medium,7
156,Equity,Fidelity 500 Index Fund,200380.76,Moderate,11/28/2010,-11.08,71,High,4
157,Fixed Income,BlackRock Global Allocation Fund,661418.38,Moderate,8/29/2010,-5.83,44,Medium,3
158,Equity,BlackRock Global Allocation Fund,13607.2,Moderate,11/30/2013,39.83,71,High,21
159,Balanced,BlackRock Global Allocation Fund,991542.03,Moderate,9/11/2015,44.32,64,High,9
160,Equity,Fidelity 500 Index Fund,105049.26,Aggressive,2/7/2016,-40.1,83,Medium,17
161,Fixed Income,BlackRock Global Allocation Fund,293518.0,Aggressive,9/25/2019,24.94,35,Low,8
162,Equity,Fidelity 500 Index Fund,174660.6,Moderate,4/30/2011,14.53,81,High,2
163,Balanced,BlackRock Global Allocation Fund,504864.52,Aggressive,12/9/2010,14.57,51,Low,2
164,Fixed Income,Fidelity 500 Index Fund,376372.99,Moderate,7/31/2016,27.38,82,High,17
165,Balanced,Vanguard Total Stock Market Index Fund,954934.15,Aggressive,2/16/2013,-27.64,63,High,27
166,Fixed Income,BlackRock Global Allocation Fund,324424.64,Moderate,7/2/2012,6.25,31,Low,25
167,Balanced,BlackRock Global Allocation Fund,483495.35,Moderate,6/14/2012,34.69,19,High,27
168,Equity,Fidelity 500 Index Fund,90404.06,Conservative,2/29/2016,-29.97,79,Low,9
169,Equity,Vanguard Total Stock Market Index Fund,597390.68,Moderate,5/25/2013,-29.26,24,High,23
170,Equity,BlackRock Global Allocation Fund,56206.01,Moderate,4/1/2013,13.17,59,Low,24
171,Balanced,Fidelity 500 Index Fund,921081.54,Aggressive,10/11/2013,-21.29,54,Medium,27
172,Equity,Fidelity 500 Index Fund,805335.56,Aggressive,2/7/2014,-1.49,22,Low,21
173,Balanced,BlackRock Global Allocation Fund,621925.4,Conservative,11/22/2016,39.98,44,High,22
174,Equity,Fidelity 500 Index Fund,541170.35,Moderate,6/14/2010,-45.58,55,Medium,22
175,Equity,BlackRock Global Allocation Fund,957309.02,Conservative,3/1/2016,9.07,77,Low,26
176,Equity,Vanguard Total Stock Market Index Fund,187423.42,Aggressive,5/20/2015,10.95,61,Low,15
177,Fixed Income,BlackRock Global Allocation Fund,24687.55,Conservative,5/6/2012,15.28,37,High,24
178,Balanced,Vanguard Total Stock Market Index Fund,80800.0,Conservative,3/30/2011,26.31,77,Low,8
179,Fixed Income,Fidelity 500 Index Fund,109442.82,Conservative,7/17/2013,-9.41,85,High,24
180,Balanced,BlackRock Global Allocation Fund,452621.02,Moderate,2/8/2014,-43.67,36,Medium,11
181,Equity,Fidelity 500 Index Fund,908649.94,Conservative,10/13/2021,-49.99,43,Medium,7
182,Fixed Income,BlackRock Global Allocation Fund,623287.42,Aggressive,3/26/2015,-45.33,81,Medium,23
183,Fixed Income,BlackRock Global Allocation Fund,174448.22,Aggressive,3/4/2017,10.57,40,Medium,29
184,Fixed Income,Vanguard Total Stock Market Index Fund,357434.95,Aggressive,1/24/2019,-29.75,18,Low,14
185,Balanced,Vanguard Total Stock Market Index Fund,460185.16,Aggressive,7/1/2021,-46.76,34,Medium,22
186,Balanced,BlackRock Global Allocation Fund,799031.1,Conservative,9/22/2016,-36.01,81,High,21
187,Balanced,Fidelity 500 Index Fund,991319.11,Aggressive,7/27/2011,-36.04,36,Low,1
188,Equity,Vanguard Total Stock Market Index Fund,618369.28,Aggressive,2/5/2011,12.02,70,Low,4
189,Equity,Fidelity 500 Index Fund,759047.61,Moderate,9/13/2016,-12.64,59,Low,21
190,Fixed Income,Vanguard Total Stock Market Index Fund,176104.99,Aggressive,4/17/2020,47.29,52,Medium,10
191,Balanced,BlackRock Global Allocation Fund,811133.81,Aggressive,11/15/2019,16.68,78,Medium,2
192,Fixed Income,Vanguard Total Stock Market Index Fund,124871.24,Aggressive,5/1/2018,-43.16,31,Medium,25
193,Balanced,BlackRock Global Allocation Fund,933274.21,Aggressive,8/15/2012,-35.93,80,Medium,2
194,Balanced,Fidelity 500 Index Fund,223182.45,Aggressive,6/30/2017,25.97,45,Medium,17
195,Equity,BlackRock Global Allocation Fund,582619.13,Aggressive,3/8/2015,-42.96,24,Low,17
196,Fixed Income,Vanguard Total Stock Market Index Fund,947699.01,Conservative,8/19/2012,28.59,59,High,16
197,Balanced,Fidelity 500 Index Fund,153103.78,Conservative,12/8/2019,-2.65,41,High,16
198,Equity,Fidelity 500 Index Fund,761558.51,Moderate,6/20/2011,-40.19,25,Medium,12
199,Equity,Fidelity 500 Index Fund,892668.87,Conservative,1/19/2018,-38.13,32,Medium,15
200,Fixed Income,Fidelity 500 Index Fund,482627.96,Conservative,4/11/2020,-13.21,69,Medium,24
201,Equity,Vanguard Total Stock Market Index Fund,151529.53,Conservative,6/19/2019,-18.96,50,Low,26
202,Equity,Fidelity 500 Index Fund,974502.03,Aggressive,3/31/2018,-38.41,41,Medium,22
203,Fixed Income,Vanguard Total Stock Market Index Fund,584556.25,Moderate,11/29/2016,-18.09,20,Medium,8
204,Fixed Income,Vanguard Total Stock Market Index Fund,423892.58,Aggressive,11/23/2014,-41.35,84,High,20
205,Fixed Income,Vanguard Total Stock Market Index Fund,569810.85,Moderate,4/20/2014,-20.65,39,Low,10
206,Fixed Income,Vanguard Total Stock Market Index Fund,495860.76,Conservative,1/8/2011,-3.96,19,High,20
207,Balanced,BlackRock Global Allocation Fund,359036.21,Conservative,7/10/2011,11.73,26,High,30
208,Fixed Income,Vanguard Total Stock Market Index Fund,583067.98,Conservative,8/7/2010,-15.86,51,Low,12
209,Balanced,Vanguard Total Stock Market Index Fund,932039.37,Conservative,11/26/2021,-23.01,39,Medium,12
210,Fixed Income,BlackRock Global Allocation Fund,948536.14,Aggressive,4/6/2021,-19.42,40,Low,19
211,Balanced,BlackRock Global Allocation Fund,10888.4,Moderate,2/5/2015,-2.14,83,Low,14
212,Balanced,Vanguard Total Stock Market Index Fund,341474.77,Conservative,1/16/2019,49.05,33,Medium,8
213,Equity,BlackRock Global Allocation Fund,682828.47,Conservative,5/14/2016,-24.06,70,Medium,5
214,Equity,Fidelity 500 Index Fund,472581.2,Conservative,10/25/2016,33.38,36,High,28
215,Fixed Income,Vanguard Total Stock Market Index Fund,761984.31,Moderate,6/4/2021,-1.59,25,Low,24
216,Balanced,Fidelity 500 Index Fund,415585.01,Conservative,5/29/2013,-45.41,21,High,26
217,Balanced,Vanguard Total Stock Market Index Fund,747157.73,Aggressive,2/19/2019,-47.11,36,Medium,3
218,Equity,Fidelity 500 Index Fund,175715.03,Aggressive,11/1/2020,-38.47,67,High,3
219,Balanced,Vanguard Total Stock Market Index Fund,79713.01,Moderate,11/24/2010,24.19,82,Low,18
220,Equity,Vanguard Total Stock Market Index Fund,628399.03,Aggressive,12/17/2019,28.17,83,Low,16
221,Balanced,BlackRock Global Allocation Fund,142117.85,Conservative,6/24/2011,38.41,66,High,16
222,Fixed Income,Vanguard Total Stock Market Index Fund,157903.47,Conservative,11/28/2020,11.92,67,Medium,2
223,Equity,Vanguard Total Stock Market Index Fund,337359.99,Conservative,10/2/2018,-45.08,81,Low,11
224,Equity,Fidelity 500 Index Fund,72709.54,Conservative,1/2/2019,38.64,42,Medium,29
225,Balanced,Vanguard Total Stock Market Index Fund,733189.25,Moderate,7/16/2018,-36.49,56,Medium,8
226,Fixed Income,Vanguard Total Stock Market Index Fund,142085.34,Conservative,3/1/2021,-27.97,18,Low,8
227,Fixed Income,Vanguard Total Stock Market Index Fund,989155.98,Moderate,8/29/2016,-9.0,52,Medium,19
228,Balanced,Vanguard Total Stock Market Index Fund,244150.33,Conservative,11/13/2015,0.01,20,Medium,2
229,Fixed Income,Fidelity 500 Index Fund,462395.57,Conservative,7/11/2021,17.9,47,Low,16
230,Equity,Vanguard Total Stock Market Index Fund,485291.02,Aggressive,4/5/2020,44.96,80,High,29
231,Balanced,BlackRock Global Allocation Fund,102420.55,Aggressive,11/9/2018,-27.5,24,Low,3
232,Balanced,Vanguard Total Stock Market Index Fund,21079.88,Aggressive,3/25/2012,3.03,59,Low,10
233,Balanced,Fidelity 500 Index Fund,757744.28,Aggressive,10/7/2011,19.37,32,High,26
234,Equity,Vanguard Total Stock Market Index Fund,147866.08,Aggressive,3/5/2014,-34.0,25,High,25
235,Fixed Income,Fidelity 500 Index Fund,792997.72,Conservative,5/8/2012,-36.65,35,Medium,27
236,Fixed Income,BlackRock Global Allocation Fund,851576.47,Conservative,5/22/2020,35.38,45,Low,1
237,Equity,BlackRock Global Allocation Fund,586510.4,Aggressive,3/6/2010,-31.58,38,Medium,20
238,Equity,Vanguard Total Stock Market Index Fund,43543.06,Aggressive,2/4/2018,-31.38,73,Medium,24
239,Equity,BlackRock Global Allocation Fund,656162.58,Moderate,8/12/2019,-11.5,44,Low,10
240,Equity,Fidelity 500 Index Fund,318515.27,Moderate,10/8/2017,0.47,73,Low,23
241,Balanced,Vanguard Total Stock Market Index Fund,662433.67,Moderate,9/18/2018,43.93,56,High,16
242,Fixed Income,BlackRock Global Allocation Fund,195718.79,Conservative,7/30/2018,-38.74,79,Low,2
243,Equity,BlackRock Global Allocation Fund,141802.8,Aggressive,12/8/2018,-16.94,33,Medium,17
244,Balanced,Vanguard Total Stock Market Index Fund,173931.13,Aggressive,6/16/2021,8.08,75,Medium,9
245,Equity,BlackRock Global Allocation Fund,287917.74,Conservative,4/11/2015,37.64,39,Low,6
246,Balanced,BlackRock Global Allocation Fund,677929.46,Conservative,6/23/2011,11.68,66,Medium,23
247,Fixed Income,Fidelity 500 Index Fund,276152.7,Conservative,4/22/2019,11.83,54,High,11
248,Balanced,Vanguard Total Stock Market Index Fund,332493.91,Conservative,10/28/2016,42.33,70,High,15
249,Equity,Vanguard Total Stock Market Index Fund,96321.73,Conservative,3/9/2010,-12.33,74,High,23
250,Fixed Income,BlackRock Global Allocation Fund,893915.75,Aggressive,2/27/2013,43.2,40,Low,13
251,Balanced,Vanguard Total Stock Market Index Fund,543755.64,Moderate,2/8/2013,-36.71,52,Low,30
252,Balanced,Fidelity 500 Index Fund,198301.06,Aggressive,11/2/2012,-44.06,74,High,13
253,Balanced,Vanguard Total Stock Market Index Fund,495479.58,Moderate,5/22/2012,24.57,76,Medium,22
254,Balanced,Fidelity 500 Index Fund,100277.39,Moderate,10/11/2014,5.39,38,Medium,29
255,Fixed Income,Fidelity 500 Index Fund,721890.68,Aggressive,3/1/2021,33.87,59,High,25
256,Balanced,Fidelity 500 Index Fund,316348.3,Moderate,11/27/2011,-39.59,33,High,3
257,Equity,Fidelity 500 Index Fund,380222.88,Aggressive,8/25/2011,8.61,25,Medium,1
258,Equity,Vanguard Total Stock Market Index Fund,275116.5,Aggressive,8/5/2019,13.02,37,High,18
259,Balanced,BlackRock Global Allocation Fund,861539.25,Conservative,3/14/2020,1.77,27,Medium,29
260,Balanced,Fidelity 500 Index Fund,40061.35,Aggressive,4/4/2013,-36.75,76,High,4
261,Fixed Income,Fidelity 500 Index Fund,189297.3,Conservative,3/26/2021,11.3,31,Medium,22
262,Balanced,BlackRock Global Allocation Fund,515923.97,Conservative,11/23/2012,14.03,49,Low,28
263,Fixed Income,Fidelity 500 Index Fund,358567.42,Aggressive,5/22/2021,38.09,37,Medium,25
264,Balanced,Fidelity 500 Index Fund,841855.12,Moderate,6/20/2012,29.86,69,Low,21
265,Equity,Vanguard Total Stock Market Index Fund,881231.74,Conservative,1/29/2015,29.1,48,High,5
266,Equity,Fidelity 500 Index Fund,851370.09,Moderate,10/11/2020,15.35,71,Low,3
267,Balanced,Fidelity 500 Index Fund,125163.72,Moderate,12/24/2019,-27.89,74,Low,14
268,Fixed Income,Fidelity 500 Index Fund,753941.75,Moderate,11/3/2010,-9.27,64,High,24
